,variable
,Tmax90p
datetime,
1988-10-31,7.550000000000001
1989-10-31,8.75
1990-10-31,10.2
1991-10-31,10.35
1992-10-31,6.699999999999999
1993-10-31,7.15
1994-10-31,8.65
1995-10-31,8.55
1996-10-31,6.85
1997-10-31,8.95
1998-10-31,8.15
1999-10-31,4.800000000000001
2000-10-31,6.9
2001-10-31,9.65
2002-10-31,8.0
2003-10-31,7.05
2004-10-31,8.45
2005-10-31,9.600000000000001
2006-10-31,7.9
2007-10-31,9.9
2008-10-31,8.45
2009-10-31,7.050000000000001
2010-10-31,6.4
2011-10-31,9.6
2012-10-31,9.649999999999999
2013-10-31,8.3
2014-10-31,9.6
2015-10-31,6.85
2016-10-31,7.699999999999999
2017-10-31,10.15
2018-10-31,6.62
