,variable
,Tmin10p
datetime,
1988-01-31,-27.25
1989-01-31,-25.85
1990-01-31,-20.35
1991-01-31,-28.15
1992-01-31,-29.299999999999997
1993-01-31,-25.549999999999997
1994-01-31,-31.900000000000002
1995-01-31,-22.85
1996-01-31,-25.58
1997-01-31,-29.200000000000003
1998-01-31,-23.950000000000003
1999-01-31,-25.700000000000003
2000-01-31,-26.85
2001-01-31,-22.9
2002-01-31,-18.8
2003-01-31,-23.9
2004-01-31,-30.2
2005-01-31,-27.7
2006-01-31,-17.4
2007-01-31,-24.7
2008-01-31,-26.55
2009-01-31,-32.65
2010-01-31,-20.05
2011-01-31,-22.6
2012-01-31,-27.3
2013-01-31,-28.15
2014-01-31,-31.049999999999997
2015-01-31,-29.65
2016-01-31,-19.75
2017-01-31,-25.65
2018-01-31,-28.0
