,Date,Indice DJF
0,1988,
1,1989,-5.079999999999998
2,1990,-4.519999999999998
3,1991,-3.1799999999999984
4,1992,-5.15
5,1993,-3.899999999999996
6,1994,-3.7
7,1995,-2.1799999999999984
8,1996,-1.9999999999999956
9,1997,-1.1
10,1998,-2.7799999999999985
11,1999,-3.0999999999999956
12,2000,-0.65
13,2001,-7.139999999999999
14,2002,-1.2799999999999983
15,2003,-5.179999999999994
16,2004,-5.05
17,2005,-6.4399999999999995
18,2006,-3.2799999999999985
19,2007,-2.1399999999999992
20,2008,-4.2
21,2009,-4.459999999999988
22,2010,-1.6399999999999992
23,2011,-2.3599999999999923
24,2012,-2.3
25,2013,-1.8
26,2014,-5.039999999999999
27,2015,-2.879999999999994
28,2016,0.2
29,2017,-2.2399999999999993
30,2018,-4.239999999999995
