,Date,Indice DJF
0,1988,
1,1989,-25.44
2,1990,-25.0
3,1991,-24.26
4,1992,-27.35
5,1993,-25.9
6,1994,-31.28
7,1995,-23.52
8,1996,-25.28
9,1997,-25.08
10,1998,-21.220000000000002
11,1999,-23.060000000000002
12,2000,-23.7
13,2001,-22.42
14,2002,-18.8
15,2003,-25.28
16,2004,-28.049999999999997
17,2005,-23.84
18,2006,-21.560000000000002
19,2007,-23.1
20,2008,-22.2
21,2009,-23.4
22,2010,-19.6
23,2011,-20.46
24,2012,-24.049999999999997
25,2013,-23.36
26,2014,-28.2
27,2015,-28.76
28,2016,-20.25
29,2017,-23.6
30,2018,-25.98
