,Date,Indice MAM
0,1988,-13.98
1,1989,-16.1
2,1990,-12.100000000000001
3,1991,-8.96
4,1992,-17.080000000000002
5,1993,-14.38
6,1994,-10.18
7,1995,-10.46
8,1996,-11.860000000000001
9,1997,-14.78
10,1998,-9.34
11,1999,-5.92
12,2000,-4.98
13,2001,-10.900000000000002
14,2002,-12.34
15,2003,-18.38
16,2004,-11.22
17,2005,-10.46
18,2006,-9.98
19,2007,-10.98
20,2008,-13.2
21,2009,-12.620000000000001
22,2010,-5.14
23,2011,-10.48
24,2012,-7.78
25,2013,-7.680000000000001
26,2014,-24.76
27,2015,-18.02
28,2016,-14.44
29,2017,-16.8
30,2018,-12.56
