,Date,Indice Annuel
0,1988,-17.8
1,1989,-21.72
2,1990,-14.92
3,1991,-17.25
4,1992,-18.4
5,1993,-19.439999999999998
6,1994,-20.52
7,1995,-17.0
8,1996,-17.1
9,1997,-17.0
10,1998,-12.41
11,1999,-15.25
12,2000,-17.1
13,2001,-14.9
14,2002,-14.4
15,2003,-19.01
16,2004,-17.4
17,2005,-17.52
18,2006,-12.31
19,2007,-18.3
20,2008,-17.5
21,2009,-16.32
22,2010,-10.76
23,2011,-15.370000000000001
24,2012,-14.8
25,2013,-18.310000000000002
26,2014,-23.610000000000003
27,2015,-21.09
28,2016,-15.0
29,2017,-17.52
30,2018,-17.52
