,variable
,MOY
datetime,
1988-10-31,2.2129032258064525
1989-10-31,4.012903225806451
1990-10-31,4.448387096774193
1991-10-31,3.72258064516129
1992-10-31,1.3419354838709676
1993-10-31,1.193548387096774
1994-10-31,3.7677419354838713
1995-10-31,5.419354838709678
1996-10-31,2.5032258064516135
1997-10-31,2.4935483870967743
1998-10-31,3.8580645161290317
1999-10-31,1.4064516129032258
2000-10-31,2.5580645161290323
2001-10-31,3.9935483870967747
2002-10-31,1.738709677419355
2003-10-31,2.8774193548387093
2004-10-31,3.5387096774193543
2005-10-31,5.25483870967742
2006-10-31,3.4451612903225812
2007-10-31,5.232258064516127
2008-10-31,2.6870967741935483
2009-10-31,2.0
2010-10-31,2.696774193548387
2011-10-31,4.780645161290323
2012-10-31,4.451612903225806
2013-10-31,3.0064516129032253
2014-10-31,4.27741935483871
2015-10-31,0.638709677419355
2016-10-31,2.596774193548387
2017-10-31,4.774193548387096
2018-10-31,1.1766666666666667
