,Date,Indice DJF
0,1988,
1,1989,-15.526666666666666
2,1990,-15.381111111111109
3,1991,-13.867777777777777
4,1992,-15.431868131868132
5,1993,-14.87666666666667
6,1994,-17.644444444444446
7,1995,-12.175555555555553
8,1996,-14.488888888888887
9,1997,-12.295555555555557
10,1998,-11.284444444444443
11,1999,-12.404444444444444
12,2000,-12.795604395604395
13,2001,-14.916666666666666
14,2002,-9.41
15,2003,-15.43
16,2004,-14.828571428571427
17,2005,-15.359999999999998
18,2006,-11.405555555555555
19,2007,-12.801111111111112
20,2008,-13.097802197802201
21,2009,-15.251111111111113
22,2010,-9.484444444444446
23,2011,-12.046666666666667
24,2012,-12.67912087912088
25,2013,-12.776666666666667
26,2014,-17.75111111111111
27,2015,-17.27222222222222
28,2016,-9.230769230769232
29,2017,-12.03888888888889
30,2018,-15.226666666666663
